"ScanCode License key","ScanCode License short name","URL to data","URL to text",
"3com-microcode","3Com Microcode","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/3com-microcode.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/3com-microcode.LICENSE",
"4suite-1.1","4Suite 1.1","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/4suite-1.1.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/4suite-1.1.LICENSE",
"ac3filter","AC3Filter License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/ac3filter.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/ac3filter.LICENSE",
"acdl-1.0","ACDL 1.0","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/acdl-1.0.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/acdl-1.0.LICENSE",
"activestate-community","ActiveState Community License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/activestate-community.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/activestate-community.LICENSE",
"activestate-komodo-edit","ActiveState Komodo Edit EULA","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/activestate-komodo-edit.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/activestate-komodo-edit.LICENSE",
"actuate-birt-ihub-ftype-sla","BIRT iHub F-Type Software License Agreement","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/actuate-birt-ihub-ftype-sla.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/actuate-birt-ihub-ftype-sla.LICENSE",
"adaptec-downloadable","Adaptec Downloadable Software License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/adaptec-downloadable.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/adaptec-downloadable.LICENSE",
"adaptec-eula","Adaptec EULA","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/adaptec-eula.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/adaptec-eula.LICENSE",
"addthis-mobile-sdk-1.0","AddThis Mobile Application SDK License 1.0","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/addthis-mobile-sdk-1.0.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/addthis-mobile-sdk-1.0.LICENSE",
"adi-bsd","ADI BSD","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/adi-bsd.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/adi-bsd.LICENSE",
"adobe-acrobat-reader-eula","Adobe Acrobat Reader EULA","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/adobe-acrobat-reader-eula.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/adobe-acrobat-reader-eula.LICENSE",
