Resource,type,name,extension,date,size,sha1,md5,files_count,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,scan_errors,license__key,license__score,license__short_name,license__category,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_choice,matched_rule__licenses,copyright,copyright_holder,author,email,url,package__type,package__name,package__version,package__primary_language,package__summary,package__description,package__homepage_url,package__download_url,package__bug_tracking_url,package__vcs_repository,package__copyright,package__asserted_license,package__notice_text
/test_sevenzip.py,file,test_sevenzip.py,.py,2016-12-01,8773,e6ece461dc3af299ff4684081b9010a87fcd82f0,166bde096f06b5fa4ea962f94f217e0b,,text/x-python,"Python script, ASCII text executable, with very long lines",Python,,True,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/test_sevenzip.py,,,,,,,,,,,,,,,,,,,apache-2.0,98.45,Apache 2.0,Permissive,Apache Software Foundation,http://www.apache.org/licenses/,http://www.apache.org/licenses/LICENSE-2.0,https://enterprise.dejacode.com/urn/urn:dje:license:apache-2.0,Apache-2.0,http://spdx.org/licenses/Apache-2.0,4,23,apache-2.0_scancode.RULE,False,"[u'apache-2.0', u'scancode-acknowledgment']",,,,,,,,,,,,,,,,,,
/test_sevenzip.py,,,,,,,,,,,,,,,,,,,scancode-acknowledgment,98.45,ScanCode acknowledgment,Permissive,nexB Inc.,https://github.com/nexB/scancode-toolkit/,,https://enterprise.dejacode.com/urn/urn:dje:license:scancode-acknowledgment,,,4,23,apache-2.0_scancode.RULE,False,"[u'apache-2.0', u'scancode-acknowledgment']",,,,,,,,,,,,,,,,,,
/test_sevenzip.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,Copyright (c) 2015 nexB Inc.,,,,,,,,,,,,,,,,,
/test_sevenzip.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,nexB Inc.,,,,,,,,,,,,,,,,
/test_sevenzip.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,38,,,,Copyright (c) 1999-2009 Igor Pavlov 2009-05-30,,,,,,,,,,,,,,,,,
/test_sevenzip.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,38,,,,,Igor Pavlov,,,,,,,,,,,,,,,,
/test_sevenzip.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,56,,,,Copyright (c) 1999-2009 Igor Pavlov 2009-05-30,,,,,,,,,,,,,,,,,
/test_sevenzip.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,56,,,,,Igor Pavlov,,,,,,,,,,,,,,,,
/test_sevenzip.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,74,,,,Copyright (c) 1999-2009 Igor Pavlov 2009-05-30,,,,,,,,,,,,,,,,,
/test_sevenzip.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,74,,,,,Igor Pavlov,,,,,,,,,,,,,,,,
/test_sevenzip.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,http://nexb.com/,,,,,,,,,,,,,
/test_sevenzip.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,https://github.com/nexB/scancode-toolkit/,,,,,,,,,,,,,
/test_sevenzip.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,http://apache.org/licenses/LICENSE-2.0,,,,,,,,,,,,,
/test_tar.py,file,test_tar.py,.py,2016-12-01,13650,21795e3ac584d581bad681e220dddf192ba61a1a,fcb6c87c1d098d347ddbed1bb445fde5,,text/x-python,"Python script, ASCII text executable",Python,,True,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/test_tar.py,,,,,,,,,,,,,,,,,,,apache-2.0,98.45,Apache 2.0,Permissive,Apache Software Foundation,http://www.apache.org/licenses/,http://www.apache.org/licenses/LICENSE-2.0,https://enterprise.dejacode.com/urn/urn:dje:license:apache-2.0,Apache-2.0,http://spdx.org/licenses/Apache-2.0,4,23,apache-2.0_scancode.RULE,False,"[u'apache-2.0', u'scancode-acknowledgment']",,,,,,,,,,,,,,,,,,
/test_tar.py,,,,,,,,,,,,,,,,,,,scancode-acknowledgment,98.45,ScanCode acknowledgment,Permissive,nexB Inc.,https://github.com/nexB/scancode-toolkit/,,https://enterprise.dejacode.com/urn/urn:dje:license:scancode-acknowledgment,,,4,23,apache-2.0_scancode.RULE,False,"[u'apache-2.0', u'scancode-acknowledgment']",,,,,,,,,,,,,,,,,,
/test_tar.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,Copyright (c) 2015 nexB Inc.,,,,,,,,,,,,,,,,,
/test_tar.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,nexB Inc.,,,,,,,,,,,,,,,,
/test_tar.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,http://nexb.com/,,,,,,,,,,,,,
/test_tar.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,https://github.com/nexB/scancode-toolkit/,,,,,,,,,,,,,
/test_tar.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,http://apache.org/licenses/LICENSE-2.0,,,,,,,,,,,,,
/test_tar.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,132,,,,,,,,http://archive.apache.org/dist/commons/logging/source/commons-logging-1.1.2-src.tar.gz,,,,,,,,,,,,,
/test_tar.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,308,,,,,,,,https://hg.python.org/cpython/raw-file/bff88c866886/Lib/test/testtar.tar,,,,,,,,,,,,,
/test_patch.py,file,test_patch.py,.py,2016-12-01,72347,bc1dc65b7d6b88709ce170291f93cd255bda8ffa,25edeca9fbedd5b53e7e70af0ab0140a,,text/x-python,"Python script, ASCII text executable",Python,,True,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/test_patch.py,,,,,,,,,,,,,,,,,,,apache-2.0,98.45,Apache 2.0,Permissive,Apache Software Foundation,http://www.apache.org/licenses/,http://www.apache.org/licenses/LICENSE-2.0,https://enterprise.dejacode.com/urn/urn:dje:license:apache-2.0,Apache-2.0,http://spdx.org/licenses/Apache-2.0,4,23,apache-2.0_scancode.RULE,False,"[u'apache-2.0', u'scancode-acknowledgment']",,,,,,,,,,,,,,,,,,
/test_patch.py,,,,,,,,,,,,,,,,,,,scancode-acknowledgment,98.45,ScanCode acknowledgment,Permissive,nexB Inc.,https://github.com/nexB/scancode-toolkit/,,https://enterprise.dejacode.com/urn/urn:dje:license:scancode-acknowledgment,,,4,23,apache-2.0_scancode.RULE,False,"[u'apache-2.0', u'scancode-acknowledgment']",,,,,,,,,,,,,,,,,,
/test_patch.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,Copyright (c) 2015 nexB Inc.,,,,,,,,,,,,,,,,,
/test_patch.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,nexB Inc.,,,,,,,,,,,,,,,,
/test_patch.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,http://nexb.com/,,,,,,,,,,,,,
/test_patch.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,https://github.com/nexB/scancode-toolkit/,,,,,,,,,,,,,
/test_patch.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,http://apache.org/licenses/LICENSE-2.0,,,,,,,,,,,,,
/test_extract.py,file,test_extract.py,.py,2016-12-01,43154,ef18204c40dc017f228c2ac39c4df4d392a89241,9d4fb1fef663934f08a98db1a0ccb4de,,text/x-python,"Python script, ASCII text executable",Python,,True,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/test_extract.py,,,,,,,,,,,,,,,,,,,apache-2.0,98.45,Apache 2.0,Permissive,Apache Software Foundation,http://www.apache.org/licenses/,http://www.apache.org/licenses/LICENSE-2.0,https://enterprise.dejacode.com/urn/urn:dje:license:apache-2.0,Apache-2.0,http://spdx.org/licenses/Apache-2.0,4,23,apache-2.0_scancode.RULE,False,"[u'apache-2.0', u'scancode-acknowledgment']",,,,,,,,,,,,,,,,,,
/test_extract.py,,,,,,,,,,,,,,,,,,,scancode-acknowledgment,98.45,ScanCode acknowledgment,Permissive,nexB Inc.,https://github.com/nexB/scancode-toolkit/,,https://enterprise.dejacode.com/urn/urn:dje:license:scancode-acknowledgment,,,4,23,apache-2.0_scancode.RULE,False,"[u'apache-2.0', u'scancode-acknowledgment']",,,,,,,,,,,,,,,,,,
/test_extract.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,Copyright (c) 2015 nexB Inc.,,,,,,,,,,,,,,,,,
/test_extract.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,nexB Inc.,,,,,,,,,,,,,,,,
/test_extract.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,http://nexb.com/,,,,,,,,,,,,,
/test_extract.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,https://github.com/nexB/scancode-toolkit/,,,,,,,,,,,,,
/test_extract.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,http://apache.org/licenses/LICENSE-2.0,,,,,,,,,,,,,
/extractcode_assert_utils.py,file,extractcode_assert_utils.py,.py,2016-12-01,2759,5b3f0f1e98daa46af4dd46c561c43f9ddb2f9bd9,d1cde11d4a0b92371c335f900b5836a1,,text/x-python,"Python script, ASCII text executable",Python,,True,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/extractcode_assert_utils.py,,,,,,,,,,,,,,,,,,,apache-2.0,98.45,Apache 2.0,Permissive,Apache Software Foundation,http://www.apache.org/licenses/,http://www.apache.org/licenses/LICENSE-2.0,https://enterprise.dejacode.com/urn/urn:dje:license:apache-2.0,Apache-2.0,http://spdx.org/licenses/Apache-2.0,4,23,apache-2.0_scancode.RULE,False,"[u'apache-2.0', u'scancode-acknowledgment']",,,,,,,,,,,,,,,,,,
/extractcode_assert_utils.py,,,,,,,,,,,,,,,,,,,scancode-acknowledgment,98.45,ScanCode acknowledgment,Permissive,nexB Inc.,https://github.com/nexB/scancode-toolkit/,,https://enterprise.dejacode.com/urn/urn:dje:license:scancode-acknowledgment,,,4,23,apache-2.0_scancode.RULE,False,"[u'apache-2.0', u'scancode-acknowledgment']",,,,,,,,,,,,,,,,,,
/extractcode_assert_utils.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,Copyright (c) 2015 nexB Inc.,,,,,,,,,,,,,,,,,
/extractcode_assert_utils.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,nexB Inc.,,,,,,,,,,,,,,,,
/extractcode_assert_utils.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,http://nexb.com/,,,,,,,,,,,,,
/extractcode_assert_utils.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,https://github.com/nexB/scancode-toolkit/,,,,,,,,,,,,,
/extractcode_assert_utils.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,http://apache.org/licenses/LICENSE-2.0,,,,,,,,,,,,,
