Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,package_manifest,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__short_name,license__category,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,copyright,copyright_holder,author
/zlib/,directory,zlib,zlib,,0,,,,,,,False,False,False,False,False,False,,16,5,268762,,,,,,,,,,,,,,,,,,,
/zlib/adler32.c,file,adler32.c,adler32,.c,4968,2017-10-26,0cff4808476ce0b5f6f0ebbc69ee2ab2a0eebe43,ae3bbb54820e1d49fb90cbba222e973f,text/x-c,"C source, ASCII text",C,False,True,False,False,True,False,,0,0,0,,,,,,,,,,,,,,,,,,,
/zlib/adler32.c,,,,,,,,,,,,,,,,,,,,,,,zlib,60.00,ZLIB License,Permissive,zlib,http://www.zlib.net/,http://www.gzip.org/zlib/zlib_license.html,https://enterprise.dejacode.com/urn/urn:dje:license:zlib,Zlib,https://spdx.org/licenses/Zlib,3,3,zlib_5.RULE,zlib,[u'zlib'],,,
/zlib/adler32.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,Copyright (c) 1995-2011 Mark Adler,,
/zlib/adler32.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,Mark Adler,
/zlib/deflate.c,file,deflate.c,deflate,.c,71476,2017-10-26,7b4ace6d698c5dbbfb9a8f047f63228ca54d2e77,cd7826278ce9d9d9ed5abdefef50c3e2,text/x-c,"C source, ASCII text",C,False,True,False,False,True,False,,0,0,0,,,,,,,,,,,,,,,,,,,
/zlib/deflate.c,,,,,,,,,,,,,,,,,,,,,,,zlib,60.00,ZLIB License,Permissive,zlib,http://www.zlib.net/,http://www.gzip.org/zlib/zlib_license.html,https://enterprise.dejacode.com/urn/urn:dje:license:zlib,Zlib,https://spdx.org/licenses/Zlib,3,3,zlib_5.RULE,zlib,[u'zlib'],,,
/zlib/deflate.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,Copyright (c) 1995-2013 Jean-loup Gailly and Mark Adler,,
/zlib/deflate.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,Jean-loup Gailly and Mark Adler,
/zlib/deflate.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,35,,,,,,Leonid Broukhis.
/zlib/deflate.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,55,,,,Copyright 1995-2013 Jean-loup Gailly and Mark Adler,,
/zlib/deflate.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,55,,,,,Jean-loup Gailly and Mark Adler,
/zlib/deflate.h,file,deflate.h,deflate,.h,12774,2017-10-26,29ed3b8ca3927576e5889dea5880ca0052942c7d,7ceae74a13201f14c91623116af169c3,text/x-c,"C source, ASCII text",C,False,True,False,False,True,False,,0,0,0,,,,,,,,,,,,,,,,,,,
/zlib/deflate.h,,,,,,,,,,,,,,,,,,,,,,,zlib,60.00,ZLIB License,Permissive,zlib,http://www.zlib.net/,http://www.gzip.org/zlib/zlib_license.html,https://enterprise.dejacode.com/urn/urn:dje:license:zlib,Zlib,https://spdx.org/licenses/Zlib,3,3,zlib_5.RULE,zlib,[u'zlib'],,,
/zlib/deflate.h,,,,,,,,,,,,,,,,,,,,,,,zlib,100.00,ZLIB License,Permissive,zlib,http://www.zlib.net/,http://www.gzip.org/zlib/zlib_license.html,https://enterprise.dejacode.com/urn/urn:dje:license:zlib,Zlib,https://spdx.org/licenses/Zlib,93,94,zlib_21.RULE,zlib,[u'zlib'],,,
/zlib/deflate.h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,Copyright (c) 1995-2012 Jean-loup Gailly,,
/zlib/deflate.h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,Jean-loup Gailly,
/zlib/zlib.h,file,zlib.h,zlib,.h,87883,2017-10-26,400d35465f179a4acacb5fe749e6ce20a0bbdb84,64d8a5180bd54ff5452886e4cbb21e14,text/x-c,"C source, ASCII text",C,False,True,False,False,True,False,,0,0,0,,,,,,,,,,,,,,,,,,,
