Header: Filename,Result Count,First Result License,#LicLines,#CopyLines,Comment
2/aclocal.m4,1,proprietary_IBM,7,0,
2/jquery-history.js,1,GPL-1.0+_urlref,1,1,
2/NOTICE,1,IJG,34,0,s
3/NOTICE,1,PD,1,0,
4/NOTICE,1,EPL-1.0_fulltext,222,0,
aclocal.m4,2,GPL-2.0+-with-libtool-exception,20,2,
activity-home.css,1,W3C_urlref,2,1,
aec_rdft.c,2,BSD_fileref,5,1,
aes-ia64.S,1,OpenSSL_ref,2,0,
align.h,1,BSD-2-Clause_urlref,4,0,
android.graphics.drawable.Drawable.html,1,CC-BY,1,0,
assigned-dev.c,1,GPL-2.0_fileref_4,2,1,
ax_enable_builddir.m4,1,GPL-3.0-with-autoconf-exception_1,25,2,
basepic.c,1,FTL_fileref,5,1,
basic.css,1,BSD_fileref2,1,1,
block.h,1,BSD-3-Clause_fileref_xiph,3,0,
bta_gatts_co.c,1,proprietary_Broadcom,1,1,
cairo-d2d-surface.cpp,1,LGPL-2.1|MPL-1.1,22,1,
cf2blues.c,1,FTL,26,1,
cfutill.c,1,GPL-2.0_ref,1,1,
cgroupstats.h,1,LGPL-2.1_2,7,1,
chemeris.h,1,BSD-2-Clause,23,1,
codepage.c,1,COPYING_fileref,1,1,
concurrent.js,1,MPL-2.0,3,0,
config.guess,1,GPL-3.0-with-autoconf-exception_2,19,0,
configure.in,1,LICENSE_fileref,1,2,
constants.hpp,1,BSL-1.0,23,0,
control.c,1,GPL-2.0_fileref_5,1,1,
convert_UTF.c,1,proprietary_Unicode,15,1,
crash_dump.c,1,GPL-2.0_fileref_2,2,1,
crc16.c,1,Permissive_4,2,0,
cubeb_resampler.cpp,1,ISC_fileref,2,1,
curlrules.h,1,curl_urlref,10,1,
decNumber.h,1,ICU,2,1,
depca.h,1,GPL-1.0+_3,3,0,
de.po,1,po_fileref,1,1,
dm.h,1,LGPL-1.0+_ref,1,2,
Document.java,1,W3C_urlref,5,1,
DOMImplementationLS.java,1,W3C_urlref,5,1,
e_fmodl.c,1,HPND,3,1,
fuse.h,1,GPL-2.0_fileref,2,1,
gbsearcharray.h,1,Permissive_1,14,1,
git.mk,1,Permissive_GNU1,3,2,
glext.h,1,SGI-B-2.0,2,0,
hashes.c,2,GPL-2.0_reiser,1,0,
hdsmart.h,1,PD_no-copyrightable-info,5,0,
i2c-ali1563.c,1,GPL-2.0_ref_3,1,2,
icheck.c,1,GPL-1.0+_2,2,0,XXX missing copyright
IDBFileHandle.webidl,1,MPL-2.0,3,0,
if_ieee1394.h,1,BSD-4-Clause_NetBSD,27,1,
imx27-dt.c,1,GPL-2.0_urlref_2,6,1,
InetBgDL.cpp,1,Zlib_ref,1,0,
io.c,1,suspiciousCopyright,0,0,
_iomanip.h,1,Permissive_2,8,2,
ipi.h,1,GPL-2.0_ref_2,13,1,XXX String in file twice!
irq_regs.h,1,GPL-2.0_2,4,1,
jdatasrc.c,1,IJG_fileref,6,0,
jmemname.c,1,IJG_fileref,2,1,
jquery-history.js,1,GPL-1.0+_urlref,1,1,
jquery.jscrollpane.min.js,1,MIT|GPL-2.0_urlref,1,1,
jsimd_none.c,1,jsimdext_fileref,1,3,
jsmin.js,2,proprietary_MIT_Crockford,19,2,
lalloc.c,1,MirOS,14,1,
LICENSE,1,Mozilla_lookelsewhere,9,0,
LinearLayout.java,1,EPL-1.0,11,1,
Looper.cpp,1,suspiciousAndroid,0,0,
mach_override.c,1,MIT_urlref,1,1,
Makefile,1,GPL-1.0+_1,1,1,
Makefile.in,1,LGPL-1.0+,2,1,
malloc.h,1,CC0-1.0,1,0,
mathimpl.h,1,BSD-4-Clause_UC,27,1,
menu.c,1,GPL-2.0_fileref_8,2,2,
mmu_context.c,1,COPYING_fileref2,1,1,
mschapv2.h,1,BSD_fileref3,2,1,
m_sha1.c,1,BSD-4-Clause_SSLeay,29,1,
msim_keyguard_sim_puk_view.xml,1,Apache-2.0,11,2,
nilfs2_fs.h,1,LGPL-2.1,13,1,
nis_callback.h,1,SunRPC,23,0,
NormalizationCorrections.txt,1,Unicode-TOU_urlref,1,1,
NOTICE,1,FTL_fulltext,166,0,
NOTICE.txt,1,HPND_no-repro-required,8,1,
npruntime.h,1,BSD-3-Clause,25,1,
nv_tracability.h,1,proprietary_TCL,3,1,
OFL.txt,1,OFL-1.1,91,1,
omp.h,1,GPL-3.0-with-GCC-exception,18,1,
one_time_construction.cpp,1,suspiciousAndroid,0,0,
ore_raid.h,1,GPL-2.0_3,7,1,
pcap-pf.h,1,proprietary_BSD-4-Clause-like_no-mod,12,1,
pm.c,1,GPL-2.0_ref_4,1,1,
policy_parse.h,2,GPL-1.0+-with-bison-exception,12,0,XXX Need to fix bison exception earlier
print-gre.c,1,BSD-4-Clause,25,1,
pure_api.c,1,PD_explicitly-no-copyright,1,0,
race.c,1,BSD-3-Clause_JPNIC,33,1,
radiotap.c,1,BSD|GPL-2.0,9,2,
_rand48.c,1,Permissive_3,7,1,
r_errors.h,1,BSD-4-Clause_RTFM,28,1,XXX multi
rpe.c,1,COPYRIGHT_fileref,2,1,
sa11xx_base.c,1,MPL-1.1|GPL-2.0,24,0,
s_cbrt.c,1,HPND,3,1,
scoped_ptr.h,1,HPND_3,4,2,
securable-module.js,1,MPL-1.1|GPL-2.0+|LGPL-2.1+,30,0,
Segment.h,1,LGPL-2.1+|MPL-1.1|GPL-2.0+,20,1,
set_thread_name_win.h,1,proprietary_Microsoft,64,0,
sha1.js,1,BSD-3-Clause_urlref_paj,2,1,
shell.c,1,PD_sqlite-blessing,6,0,
slhc_vj.h,1,proprietary_BSD-4-Clause-like_no-mod,11,1,
smslib.mm,1,MIT_BSD_hybrid,26,1,
SourceMap.jsm,7,BSD-3-Clause,25,2,
spreadsort.hpp,1,BSL-1.0_urlref,3,1,
synth_minidump_unittest_data.h,1,PD_not-copyrightable,1,0,
test_ppc_jm1.c,3,GPL-2.0_3,3,1,
test_ws.py,1,MPL-2.0,3,0,
thread.c,1,WebM_urlref,3,1,
thread_db.h,1,suspiciousAndroid,0,0,
thread_private.h,1,PD,1,0,
tlb-v3.S,1,GPL-2.0_3,3,1,XXX
Tokenizer.java,2,MIT,17,3,
u14-34f.c,1,Permissive_6,4,1,
unzcrash.c,1,bzip2-1.0.6_fileref,2,1,
update-b4-copyright,1,GPL-3.0,12,1,
util.c,2,GPL-2.0|GPL-3.0,12,1,
v_midi.c,1,GPL-2.0_fileref_7,3,1,
vp9_rtcd.h,1,BSD_fileref,4,1,
wext-proc.c,1,GPL-2.0_ref_5,1,1,
winconfig.h,1,MIT_fileref,3,1,
wpamsg.h,1,BSD|GPL-2.0,8,1,
Xarch.h,1,HPND,18,1,
yui-3.3.0-reset-min.css,1,BSD-3-Clause_urlref_yui,2,1,
zconf.h,1,Zlib_fileref,1,1,
repo,1,Apache-2.0,11,1,
MSIntTypes.h,1,BSD-2-Clause,23,1,
elsa_cs.c,1,MPL-1.1|GPL-2.0,27,0,
if_ppp.h,1,BSD-4-Clause,11,1,
2/LICENSE,1,Apache-2.0_fulltext,174,0,
runtests.py,1,CC0-1.0,2,0,
validate.py,1,BSD-3-Clause_urlref_voidspace,2,1,
vfprintf.c,1,BSD-4-Clause_UC,15,1,
versioninfo.rc.in,1,Permissive_GNU2,7,1,
fft4g.c,1,Permissive_5,3,1,
hp_sdc.h,1,BSD|GPL-1.0+,21,1,
3/LICENSE,1,BSD-3-Clause,31,1,
celt_pitch_xcorr_arm.s,1,BSD-2-Clause,22,3,
ScheherazadeRegOT-license.txt,1,OFL-1.1,92,1,
dwarf_helper.h,2,BSD-3-Clause,23,1,
ipheth.c,1,BSD|GPL-2.0_2,32,1,
Gentium-license.txt,1,OFL-1.0,93,1,
COPYING.LIB,1,LGPL-2.1_full,458,0,
z2ram.c,1,HPND,6,1,
2/COPYRIGHT,1,OFL-1.1_ref,2,1,
mail_app.js,1,MIT|BSD-3-Clause_alameda,2,1,
4/LICENSE,1,MPL-1.1|GPL-2.0+|LGPL-2.1+,31,0,
crypto-md5.js,1,BSD-3-Clause_urlref_paj,2,1,
libffi.texi,1,GPL-2.0+,0,0,
README,1,BSD-like_editline,12,1,
5/LICENSE,1,MPL-2.0_full-text,373,0,
pure.h,1,proprietary_IBM_purify,2,0,
libyuv_tests.bat,1,BSD_fileref,5,1,
condition_variable_event_win.cc,1,Permissive_ACE,66,0,
device_stats_monitor.html,1,BSD_fileref,3,0,
libpng-manual.txt,1,Libpng_fileref,3,1,
LICENSE-LGPL-2.1,1,LGPL-2.1_full,458,0,
GonkRecorderProfiles.def,1,Apache-2.0,11,1,
codemirror.js,1,MIT_codemirror_urlref,1,1,
libata.tmpl,1,OSL-1.1|GPL-2.0,17,0,
configure.ac,1,FTL_fileref,12,0,
hb-gobject-enums.cc.tmpl,1,MIT,17,1,
at91sam9x5_matrix.h,1,GPL-2.0+_2,1,1,
Kconfig,1,GPL-2.0_ref_6,1,1,
daemon_kern.c,1,GPL-1.0+_1,1,3,
ftest.S,1,HPND_Motorola,19,1,
x_unimp.S,1,README_fileref,2,1,
core.c,1,GPL-2.0_fileref_9,1,4,
gianfar_ethtool.c,1,GPL-2.0_ref_2,3,1,
tea5761.c,1,GPL-2.0_ref_7,1,1,
ohci-ep93xx.c,1,GPL-1.0+_1,1,3,
5/NOTICE,2,GPL-2.0+,13,11,
glx.h,1,SGI-B-1.1,15,0,
which.py,1,LICENSE.txt_fileref,1,1,
6/LICENSE,1,MIT_ref,1,0,
print-olsr.c,1,BSD-2-Clause,10,1,
atm.h,1,BSD-3-Clause,11,1,
2/ipheth.c,1,BSD|GPL-2.0_2,32,1,
7/LICENSE,1,BSD-3-Clause,31,1,
mkdep,1,BSD-3-Clause,6,1,
keyspan_usa67msg.h,1,BSD-3-Clause,32,1,
